* Measurement data measured by REW V5.19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Dec 21, 2020 11:50:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FD5 (R) narrow; triple L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
6355.591, 92.379, 179.779
6355.957, 92.376, 179.794
6356.323, 92.373, 179.816
6356.689, 92.373, 179.838
6357.056, 92.374, 179.852
6357.422, 92.374, 179.854
6357.788, 92.374, 179.847
6358.154, 92.371, 179.840
6358.521, 92.368, 179.840
6358.887, 92.364, 179.850
6359.253, 92.361, 179.869
6359.619, 92.359, 179.890
6359.985, 92.359, 179.907
6360.352, 92.358, 179.918
6360.718, 92.357, 179.925
6361.084, 92.356, 179.933
6361.450, 92.355, 179.943
6361.816, 92.354, 179.954
6362.183, 92.354, 179.962
6362.549, 92.353, 179.967
6362.915, 92.352, 179.969
6363.281, 92.351, 179.973
6363.647, 92.349, 179.980
6364.014, 92.348, 179.991
6364.380, 92.347, 179.999
6364.746, 92.346, -179.997
6365.112, 92.345, -179.996
6365.479, 92.342, -179.994
6365.845, 92.339, -179.984
6366.211, 92.337, -179.967
6366.577, 92.335, -179.947
6366.943, 92.335, -179.932
6367.310, 92.335, -179.924
6367.676, 92.334, -179.921
6368.042, 92.332, -179.914
6368.408, 92.330, -179.901
6368.774, 92.328, -179.883
6369.141, 92.328, -179.867
6369.507, 92.328, -179.859
6369.873, 92.328, -179.860
6370.239, 92.326, -179.862
6370.605, 92.323, -179.858
6370.972, 92.319, -179.847
6371.338, 92.317, -179.829
6371.704, 92.315, -179.811
6372.070, 92.313, -179.794
6372.437, 92.312, -179.778
6372.803, 92.310, -179.761
6373.169, 92.310, -179.743
6373.535, 92.310, -179.731
6373.901, 92.311, -179.726
6374.268, 92.310, -179.729
6374.634, 92.308, -179.733
6375.000, 92.305, -179.731
6375.366, 92.302, -179.717
6375.732, 92.300, -179.695
6376.099, 92.300, -179.673
6376.465, 92.301, -179.661
6376.831, 92.302, -179.664
6377.197, 92.302, -179.678
6377.563, 92.300, -179.693
6377.930, 92.295, -179.701
6378.296, 92.290, -179.693
6378.662, 92.286, -179.672
6379.028, 92.283, -179.641
6379.395, 92.282, -179.609
6379.761, 92.282, -179.583
6380.127, 92.284, -179.568
6380.493, 92.285, -179.564
6380.859, 92.285, -179.568
6381.226, 92.284, -179.575
6381.592, 92.281, -179.580
6381.958, 92.277, -179.577
6382.324, 92.273, -179.563
6382.690, 92.269, -179.539
6383.057, 92.267, -179.509
6383.423, 92.267, -179.482
6383.789, 92.268, -179.464
6384.155, 92.269, -179.459
6384.521, 92.269, -179.463
6384.888, 92.267, -179.470
6385.254, 92.265, -179.472
6385.620, 92.261, -179.466
6385.986, 92.258, -179.453
6386.353, 92.257, -179.438
6386.719, 92.255, -179.426
6387.085, 92.254, -179.417
6387.451, 92.253, -179.410
6387.817, 92.252, -179.403
6388.184, 92.250, -179.393
6388.550, 92.249, -179.383
6388.916, 92.248, -179.373
6389.282, 92.247, -179.365
6389.648, 92.246, -179.357
6390.015, 92.245, -179.349
6390.381, 92.244, -179.338
6390.747, 92.243, -179.325
6391.113, 92.242, -179.313
6391.479, 92.242, -179.304
6391.846, 92.242, -179.299
6392.212, 92.242, -179.299
6392.578, 92.240, -179.300
6392.944, 92.237, -179.299
6393.311, 92.234, -179.291
6393.677, 92.230, -179.273
6394.043, 92.227, -179.249
6394.409, 92.226, -179.224
6394.775, 92.226, -179.202
6395.142, 92.226, -179.187
6395.508, 92.226, -179.179
6395.874, 92.225, -179.174
6396.240, 92.224, -179.171
6396.606, 92.222, -179.167
6396.973, 92.220, -179.161
6397.339, 92.218, -179.154
6397.705, 92.215, -179.146
6398.071, 92.214, -179.136
6398.438, 92.212, -179.127
6398.804, 92.210, -179.119
6399.170, 92.208, -179.111
6399.536, 92.207, -179.102
6399.902, 92.205, -179.090
6400.269, 92.203, -179.076
6400.635, 92.203, -179.064
6401.001, 92.202, -179.055
6401.367, 92.201, -179.050
6401.733, 92.200, -179.044
6402.100, 92.198, -179.031
6402.466, 92.196, -179.014
6402.832, 92.196, -178.996
6403.198, 92.197, -178.986
6403.564, 92.197, -178.985
6403.931, 92.196, -178.986
6404.297, 92.193, -178.983
6404.663, 92.191, -178.969
6405.029, 92.190, -178.950
6405.396, 92.190, -178.937
6405.762, 92.190, -178.935
6406.128, 92.188, -178.941
6406.494, 92.185, -178.942
6406.860, 92.181, -178.928
6407.227, 92.178, -178.901
6407.593, 92.178, -178.874
6407.959, 92.180, -178.861
6408.325, 92.181, -178.866
6408.691, 92.179, -178.879
6409.058, 92.175, -178.882
6409.424, 92.170, -178.866
6409.790, 92.167, -178.835
6410.156, 92.167, -178.804
6410.522, 92.169, -178.786
6410.889, 92.171, -178.786
6411.255, 92.171, -178.795
6411.621, 92.168, -178.802
6411.987, 92.164, -178.798
6412.354, 92.160, -178.782
6412.720, 92.158, -178.758
6413.086, 92.156, -178.733
6413.452, 92.156, -178.710
6413.818, 92.156, -178.690
6414.185, 92.157, -178.677
6414.551, 92.158, -178.674
6414.917, 92.157, -178.679
6415.283, 92.156, -178.688
6415.649, 92.152, -178.694
6416.016, 92.147, -178.688
6416.382, 92.143, -178.668
6416.748, 92.140, -178.640
6417.114, 92.139, -178.611
6417.480, 92.140, -178.590
6417.847, 92.141, -178.579
6418.213, 92.141, -178.577
6418.579, 92.140, -178.575
6418.945, 92.138, -178.569
6419.312, 92.136, -178.557
6419.678, 92.135, -178.541
6420.044, 92.134, -178.525
6420.410, 92.134, -178.514
6420.776, 92.134, -178.508
6421.143, 92.134, -178.505
6421.509, 92.133, -178.503
6421.875, 92.131, -178.500
6422.241, 92.129, -178.500
6422.607, 92.127, -178.501
6422.974, 92.123, -178.501
6423.340, 92.118, -178.493
6423.706, 92.112, -178.469
6424.072, 92.108, -178.431
6424.438, 92.108, -178.387
6424.805, 92.110, -178.354
6425.171, 92.114, -178.344
6425.537, 92.116, -178.358
6425.903, 92.116, -178.382
6426.270, 92.112, -178.400
6426.636, 92.107, -178.400
6427.002, 92.103, -178.383
6427.368, 92.101, -178.362
6427.734, 92.102, -178.348
6428.101, 92.102, -178.346
6428.467, 92.101, -178.351
6428.833, 92.098, -178.351
6429.199, 92.095, -178.341
6429.565, 92.093, -178.321
6429.932, 92.092, -178.298
6430.298, 92.093, -178.280
6430.664, 92.093, -178.268
6431.030, 92.092, -178.258
6431.396, 92.092, -178.245
6431.763, 92.092, -178.231
6432.129, 92.092, -178.222
6432.495, 92.092, -178.221
6432.861, 92.090, -178.227
6433.228, 92.086, -178.230
6433.594, 92.081, -178.221
6433.960, 92.077, -178.197
6434.326, 92.074, -178.164
6434.692, 92.073, -178.134
6435.059, 92.073, -178.116
6435.425, 92.074, -178.110
6435.791, 92.073, -178.110
6436.157, 92.070, -178.108
6436.523, 92.068, -178.097
6436.890, 92.067, -178.082
6437.256, 92.066, -178.069
6437.622, 92.067, -178.064
6437.988, 92.067, -178.066
6438.354, 92.065, -178.069
6438.721, 92.063, -178.066
6439.087, 92.061, -178.055
6439.453, 92.061, -178.040
6439.819, 92.061, -178.027
6440.186, 92.062, -178.021
6440.552, 92.062, -178.021
6440.918, 92.062, -178.025
6441.284, 92.060, -178.025
6441.650, 92.057, -178.021
6442.017, 92.055, -178.010
6442.383, 92.052, -177.996
6442.749, 92.050, -177.981
6443.115, 92.048, -177.963
6443.481, 92.046, -177.944
6443.848, 92.044, -177.924
6444.214, 92.043, -177.906
6444.580, 92.043, -177.891
6444.946, 92.042, -177.880
6445.312, 92.040, -177.870
6445.679, 92.038, -177.860
6446.045, 92.037, -177.847
6446.411, 92.036, -177.833
6446.777, 92.035, -177.822
6447.144, 92.035, -177.817
6447.510, 92.034, -177.815
6447.876, 92.032, -177.813
6448.242, 92.031, -177.808
6448.608, 92.029, -177.801
6448.975, 92.028, -177.794
6449.341, 92.027, -177.791
6449.707, 92.026, -177.792
6450.073, 92.023, -177.791
6450.439, 92.020, -177.783
6450.806, 92.016, -177.766
6451.172, 92.014, -177.741
6451.538, 92.014, -177.715
6451.904, 92.014, -177.696
6452.271, 92.014, -177.686
6452.637, 92.014, -177.680
6453.003, 92.012, -177.672
6453.369, 92.009, -177.654
6453.735, 92.007, -177.626
6454.102, 92.007, -177.594
6454.468, 92.010, -177.567
6454.834, 92.013, -177.556
6455.200, 92.016, -177.562
6455.566, 92.017, -177.581
6455.933, 92.015, -177.603
6456.299, 92.011, -177.617
6456.665, 92.006, -177.616
6457.031, 92.001, -177.601
6457.397, 91.997, -177.577
6457.764, 91.995, -177.549
6458.130, 91.995, -177.527
6458.496, 91.996, -177.515
6458.862, 91.996, -177.515
6459.229, 91.994, -177.523
6459.595, 91.991, -177.530
6459.961, 91.986, -177.523
6460.327, 91.981, -177.499
6460.693, 91.978, -177.462
6461.060, 91.979, -177.427
6461.426, 91.982, -177.408
6461.792, 91.985, -177.412
6462.158, 91.985, -177.429
6462.524, 91.983, -177.444
6462.891, 91.979, -177.446
6463.257, 91.975, -177.432
6463.623, 91.974, -177.412
6463.989, 91.974, -177.397
6464.355, 91.974, -177.392
6464.722, 91.974, -177.392
6465.088, 91.972, -177.392
6465.454, 91.969, -177.385
6465.820, 91.967, -177.372
6466.187, 91.966, -177.358
6466.553, 91.964, -177.343
6466.919, 91.963, -177.328
6467.285, 91.962, -177.310
6467.651, 91.961, -177.291
6468.018, 91.962, -177.278
6468.384, 91.962, -177.274
6468.750, 91.960, -177.278
6469.116, 91.957, -177.278
6469.482, 91.952, -177.266
6469.849, 91.948, -177.237
6470.215, 91.947, -177.201
6470.581, 91.948, -177.172
6470.947, 91.951, -177.162
6471.313, 91.952, -177.170
6471.680, 91.951, -177.186
6472.046, 91.947, -177.196
6472.412, 91.942, -177.189
6472.778, 91.939, -177.169
6473.145, 91.938, -177.147
6473.511, 91.938, -177.133
6473.877, 91.937, -177.128
6474.243, 91.936, -177.126
6474.609, 91.934, -177.119
6474.976, 91.932, -177.104
6475.342, 91.931, -177.084
6475.708, 91.932, -177.069
6476.074, 91.932, -177.061
6476.440, 91.931, -177.058
6476.807, 91.929, -177.050
6477.173, 91.927, -177.028
6477.539, 91.926, -176.996
6477.905, 91.928, -176.969
6478.271, 91.932, -176.959
6478.638, 91.934, -176.973
6479.004, 91.932, -176.997
6479.370, 91.927, -177.011
6479.736, 91.920, -176.998
6480.103, 91.914, -176.961
6480.469, 91.912, -176.915
6480.835, 91.914, -176.882
6481.201, 91.916, -176.871
6481.567, 91.916, -176.876
6481.934, 91.913, -176.880
6482.300, 91.909, -176.870
6482.666, 91.906, -176.846
6483.032, 91.905, -176.821
6483.398, 91.905, -176.809
6483.765, 91.905, -176.809
6484.131, 91.902, -176.812
6484.497, 91.897, -176.803
6484.863, 91.893, -176.776
6485.229, 91.892, -176.739
6485.596, 91.894, -176.710
6485.962, 91.897, -176.701
6486.328, 91.899, -176.709
6486.694, 91.898, -176.723
6487.061, 91.895, -176.727
6487.427, 91.893, -176.717
6487.793, 91.891, -176.700
6488.159, 91.892, -176.688
6488.525, 91.893, -176.690
6488.892, 91.892, -176.701
6489.258, 91.889, -176.709
6489.624, 91.884, -176.704
6489.990, 91.881, -176.682
6490.356, 91.879, -176.656
6490.723, 91.880, -176.637
6491.089, 91.881, -176.635
6491.455, 91.880, -176.643
6491.821, 91.876, -176.647
6492.188, 91.871, -176.633
6492.554, 91.868, -176.599
6492.920, 91.867, -176.558
6493.286, 91.870, -176.528
6493.652, 91.874, -176.522
6494.019, 91.876, -176.536
6494.385, 91.874, -176.555
6494.751, 91.870, -176.560
6495.117, 91.866, -176.545
6495.483, 91.864, -176.518
6495.850, 91.864, -176.494
6496.216, 91.866, -176.485
6496.582, 91.866, -176.489
6496.948, 91.865, -176.495
6497.314, 91.862, -176.492
6497.681, 91.859, -176.477
6498.047, 91.857, -176.458
6498.413, 91.857, -176.443
6498.779, 91.856, -176.436
6499.146, 91.855, -176.430
6499.512, 91.853, -176.419
6499.878, 91.851, -176.402
6500.244, 91.851, -176.384
6500.610, 91.851, -176.374
6500.977, 91.851, -176.374
6501.343, 91.850, -176.380
6501.709, 91.846, -176.378
6502.075, 91.842, -176.363
6502.441, 91.839, -176.337
6502.808, 91.839, -176.309
6503.174, 91.840, -176.292
6503.540, 91.840, -176.290
6503.906, 91.839, -176.297
6504.272, 91.836, -176.300
6504.639, 91.832, -176.289
6505.005, 91.829, -176.263
6505.371, 91.828, -176.231
6505.737, 91.829, -176.207
6506.104, 91.831, -176.197
6506.470, 91.832, -176.199
6506.836, 91.832, -176.205
6507.202, 91.830, -176.203
6507.568, 91.828, -176.193
6507.935, 91.828, -176.178
6508.301, 91.828, -176.169
6508.667, 91.828, -176.168
6509.033, 91.827, -176.171
6509.399, 91.824, -176.168
6509.766, 91.820, -176.151
6510.132, 91.817, -176.121
6510.498, 91.817, -176.086
6510.864, 91.818, -176.059
6511.230, 91.820, -176.047
6511.597, 91.821, -176.045
6511.963, 91.820, -176.044
6512.329, 91.818, -176.039
6512.695, 91.816, -176.027
6513.062, 91.814, -176.013
6513.428, 91.812, -176.002
6513.794, 91.810, -175.992
6514.160, 91.808, -175.980
6514.526, 91.805, -175.962
6514.893, 91.803, -175.940
6515.259, 91.803, -175.919
6515.625, 91.804, -175.908
6515.991, 91.805, -175.910
6516.357, 91.805, -175.921
6516.724, 91.802, -175.932
6517.090, 91.799, -175.937
6517.456, 91.795, -175.934
6517.822, 91.791, -175.926
6518.188, 91.789, -175.916
6518.555, 91.786, -175.907
6518.921, 91.783, -175.896
6519.287, 91.780, -175.879
6519.653, 91.777, -175.854
6520.020, 91.776, -175.824
6520.386, 91.777, -175.797
6520.752, 91.779, -175.782
6521.118, 91.781, -175.782
6521.484, 91.781, -175.790
6521.851, 91.778, -175.796
6522.217, 91.775, -175.788
6522.583, 91.772, -175.763
6522.949, 91.771, -175.730
6523.315, 91.773, -175.704
6523.682, 91.777, -175.698
6524.048, 91.779, -175.712
6524.414, 91.779, -175.735
6524.780, 91.775, -175.751
6525.146, 91.769, -175.749
6525.513, 91.765, -175.728
6525.879, 91.763, -175.699
6526.245, 91.762, -175.676
6526.611, 91.763, -175.663
6526.978, 91.762, -175.657
6527.344, 91.760, -175.649
6527.710, 91.758, -175.633
6528.076, 91.756, -175.609
6528.442, 91.756, -175.587
6528.809, 91.757, -175.572
6529.175, 91.758, -175.569
6529.541, 91.757, -175.572
6529.907, 91.755, -175.573
6530.273, 91.752, -175.566
6530.640, 91.749, -175.548
6531.006, 91.747, -175.525
6531.372, 91.746, -175.504
6531.738, 91.746, -175.489
6532.104, 91.746, -175.482
6532.471, 91.745, -175.478
6532.837, 91.743, -175.472
6533.203, 91.741, -175.461
6533.569, 91.739, -175.446
6533.936, 91.739, -175.430
6534.302, 91.739, -175.420
6534.668, 91.739, -175.419
6535.034, 91.738, -175.421
6535.400, 91.735, -175.420
6535.767, 91.733, -175.410
6536.133, 91.731, -175.391
6536.499, 91.730, -175.372
6536.865, 91.731, -175.361
6537.231, 91.732, -175.363
6537.598, 91.730, -175.372
6537.964, 91.726, -175.375
6538.330, 91.721, -175.361
6538.696, 91.717, -175.329
6539.062, 91.715, -175.289
6539.429, 91.716, -175.256
6539.795, 91.719, -175.237
6540.161, 91.720, -175.231
6540.527, 91.719, -175.227
6540.894, 91.718, -175.217
6541.260, 91.717, -175.201
6541.626, 91.717, -175.187
6541.992, 91.718, -175.184
6542.358, 91.718, -175.192
6542.725, 91.716, -175.203
6543.091, 91.711, -175.203
6543.457, 91.707, -175.186
6543.823, 91.704, -175.158
6544.189, 91.704, -175.131
6544.556, 91.705, -175.118
6544.922, 91.706, -175.121
6545.288, 91.705, -175.131
6545.654, 91.701, -175.136
6546.021, 91.696, -175.127
6546.387, 91.692, -175.101
6546.753, 91.691, -175.066
6547.119, 91.692, -175.034
6547.485, 91.695, -175.016
6547.852, 91.697, -175.015
6548.218, 91.699, -175.027
6548.584, 91.697, -175.040
6548.950, 91.694, -175.044
6549.316, 91.690, -175.032
6549.683, 91.688, -175.007
6550.049, 91.688, -174.980
6550.415, 91.690, -174.962
6550.781, 91.692, -174.961
6551.147, 91.692, -174.971
6551.514, 91.690, -174.982
6551.880, 91.686, -174.982
6552.246, 91.681, -174.967
6552.612, 91.678, -174.943
6552.979, 91.677, -174.918
6553.345, 91.676, -174.898
6553.711, 91.675, -174.884
6554.077, 91.674, -174.870
6554.443, 91.672, -174.852
6554.810, 91.671, -174.831
6555.176, 91.671, -174.810
6555.542, 91.672, -174.798
6555.908, 91.672, -174.795
6556.274, 91.671, -174.796
6556.641, 91.669, -174.794
6557.007, 91.666, -174.782
6557.373, 91.664, -174.762
6557.739, 91.665, -174.743
6558.105, 91.666, -174.733
6558.472, 91.667, -174.739
6558.838, 91.666, -174.754
6559.204, 91.663, -174.768
6559.570, 91.658, -174.767
6559.937, 91.654, -174.749
6560.303, 91.651, -174.719
6560.669, 91.651, -174.690
6561.035, 91.652, -174.671
6561.401, 91.653, -174.664
6561.768, 91.652, -174.661
6562.134, 91.650, -174.654
6562.500, 91.649, -174.637
6562.866, 91.648, -174.615
6563.232, 91.649, -174.596
6563.599, 91.651, -174.588
6563.965, 91.652, -174.591
6564.331, 91.650, -174.596
6564.697, 91.647, -174.593
6565.063, 91.644, -174.579
6565.430, 91.642, -174.555
6565.796, 91.642, -174.531
6566.162, 91.642, -174.516
6566.528, 91.643, -174.511
6566.895, 91.642, -174.514
6567.261, 91.640, -174.516
6567.627, 91.637, -174.511
6567.993, 91.633, -174.496
6568.359, 91.631, -174.476
6568.726, 91.630, -174.455
6569.092, 91.630, -174.439
6569.458, 91.630, -174.432
6569.824, 91.629, -174.431
6570.190, 91.628, -174.431
6570.557, 91.625, -174.426
6570.923, 91.622, -174.413
6571.289, 91.620, -174.395
6571.655, 91.620, -174.375
6572.021, 91.620, -174.362
6572.388, 91.620, -174.357
6572.754, 91.620, -174.356
6573.120, 91.618, -174.352
6573.486, 91.616, -174.341
6573.853, 91.614, -174.323
6574.219, 91.614, -174.304
6574.585, 91.614, -174.292
6574.951, 91.614, -174.289
6575.317, 91.612, -174.286
6575.684, 91.608, -174.275
6576.050, 91.606, -174.249
6576.416, 91.605, -174.215
6576.782, 91.607, -174.186
6577.148, 91.610, -174.177
6577.515, 91.612, -174.186
6577.881, 91.610, -174.203
6578.247, 91.606, -174.208
6578.613, 91.601, -174.191
6578.979, 91.598, -174.156
6579.346, 91.598, -174.121
6579.712, 91.601, -174.103
6580.078, 91.603, -174.105
6580.444, 91.603, -174.117
6580.811, 91.600, -174.123
6581.177, 91.596, -174.112
6581.543, 91.594, -174.088
6581.909, 91.594, -174.063
6582.275, 91.595, -174.050
6582.642, 91.595, -174.049
6583.008, 91.594, -174.050
6583.374, 91.591, -174.041
6583.740, 91.589, -174.018
6584.106, 91.588, -173.990
6584.473, 91.590, -173.970
6584.839, 91.591, -173.964
6585.205, 91.592, -173.970
6585.571, 91.589, -173.977
6585.938, 91.585, -173.974
6586.304, 91.581, -173.956
6586.670, 91.578, -173.928
6587.036, 91.577, -173.900
6587.402, 91.577, -173.876
6587.769, 91.577, -173.861
6588.135, 91.577, -173.850
6588.501, 91.577, -173.843
6588.867, 91.577, -173.839
6589.233, 91.576, -173.840
6589.600, 91.575, -173.844
6589.966, 91.572, -173.848
6590.332, 91.569, -173.846
6590.698, 91.566, -173.834
6591.064, 91.563, -173.813
6591.431, 91.562, -173.789
6591.797, 91.563, -173.769
6592.163, 91.565, -173.761
6592.529, 91.566, -173.762
6592.896, 91.566, -173.769
6593.262, 91.564, -173.774
6593.628, 91.561, -173.771
6593.994, 91.558, -173.757
6594.360, 91.555, -173.734
6594.727, 91.554, -173.706
6595.093, 91.554, -173.680
6595.459, 91.555, -173.660
6595.825, 91.556, -173.648
6596.191, 91.557, -173.643
6596.558, 91.556, -173.641
6596.924, 91.554, -173.638
6597.290, 91.551, -173.630
6597.656, 91.549, -173.616
6598.022, 91.546, -173.597
6598.389, 91.544, -173.576
6598.755, 91.543, -173.557
6599.121, 91.542, -173.540
6599.487, 91.541, -173.527
6599.854, 91.540, -173.516
6600.220, 91.539, -173.507
6600.586, 91.537, -173.495
6600.952, 91.536, -173.480
6601.318, 91.535, -173.461
6601.685, 91.536, -173.444
6602.051, 91.538, -173.434
6602.417, 91.540, -173.438
6602.783, 91.541, -173.455
6603.149, 91.539, -173.475
6603.516, 91.535, -173.486
6603.882, 91.530, -173.476
6604.248, 91.526, -173.447
6604.614, 91.524, -173.410
6604.980, 91.526, -173.379
6605.347, 91.528, -173.363
6605.713, 91.530, -173.361
6606.079, 91.529, -173.363
6606.445, 91.527, -173.360
6606.812, 91.525, -173.346
6607.178, 91.523, -173.326
6607.544, 91.523, -173.306
6607.910, 91.523, -173.293
6608.276, 91.523, -173.289
6608.643, 91.522, -173.288
6609.009, 91.519, -173.283
6609.375, 91.516, -173.270
6609.741, 91.514, -173.250
6610.107, 91.514, -173.229
6610.474, 91.514, -173.217
6610.840, 91.515, -173.217
6611.206, 91.514, -173.227
6611.572, 91.511, -173.238
6611.938, 91.506, -173.239
6612.305, 91.501, -173.225
6612.671, 91.497, -173.197
6613.037, 91.495, -173.164
6613.403, 91.495, -173.135
6613.770, 91.496, -173.116
6614.136, 91.498, -173.105
6614.502, 91.498, -173.100
6614.868, 91.498, -173.095
6615.234, 91.498, -173.090
6615.601, 91.497, -173.085
6615.967, 91.496, -173.082
6616.333, 91.495, -173.076
6616.699, 91.493, -173.066
6617.065, 91.491, -173.050
6617.432, 91.491, -173.029
6617.798, 91.491, -173.009
6618.164, 91.492, -172.995
6618.530, 91.493, -172.991
6618.896, 91.493, -172.994
6619.263, 91.492, -172.999
6619.629, 91.489, -172.997
6619.995, 91.485, -172.984
6620.361, 91.482, -172.960
6620.728, 91.481, -172.933
6621.094, 91.482, -172.912
6621.460, 91.483, -172.905
6621.826, 91.483, -172.909
6622.192, 91.481, -172.915
6622.559, 91.477, -172.910
6622.925, 91.473, -172.890
6623.291, 91.470, -172.859
6623.657, 91.470, -172.827
6624.023, 91.471, -172.805
6624.390, 91.473, -172.797
6624.756, 91.474, -172.800
6625.122, 91.474, -172.807
6625.488, 91.472, -172.813
6625.854, 91.469, -172.814
6626.221, 91.466, -172.807
6626.587, 91.463, -172.791
6626.953, 91.460, -172.767
6627.319, 91.460, -172.737
6627.686, 91.461, -172.711
6628.052, 91.464, -172.697
6628.418, 91.467, -172.700
6628.784, 91.468, -172.715
6629.150, 91.466, -172.731
6629.517, 91.462, -172.737
6629.883, 91.457, -172.725
6630.249, 91.453, -172.696
6630.615, 91.452, -172.657
6630.981, 91.453, -172.621
6631.348, 91.455, -172.595
6631.714, 91.458, -172.585
6632.080, 91.460, -172.587
6632.446, 91.460, -172.593
6632.812, 91.458, -172.596
6633.179, 91.455, -172.592
6633.545, 91.452, -172.581
6633.911, 91.450, -172.566
6634.277, 91.448, -172.552
6634.644, 91.446, -172.537
6635.010, 91.443, -172.518
6635.376, 91.441, -172.491
6635.742, 91.440, -172.458
6636.108, 91.442, -172.430
6636.475, 91.445, -172.414
6636.841, 91.448, -172.418
6637.207, 91.449, -172.435
6637.573, 91.447, -172.455
6637.939, 91.442, -172.465
6638.306, 91.437, -172.459
6638.672, 91.433, -172.438
6639.038, 91.430, -172.409
6639.404, 91.428, -172.380
6639.771, 91.428, -172.355
6640.137, 91.429, -172.336
6640.503, 91.429, -172.322
6640.869, 91.430, -172.314
6641.235, 91.430, -172.309
6641.602, 91.429, -172.304
6641.968, 91.428, -172.298
6642.334, 91.426, -172.289
6642.700, 91.425, -172.278
6643.066, 91.425, -172.268
6643.433, 91.425, -172.262
6643.799, 91.424, -172.259
6644.165, 91.423, -172.257
6644.531, 91.421, -172.253
6644.897, 91.419, -172.245
6645.264, 91.417, -172.232
6645.630, 91.416, -172.216
6645.996, 91.416, -172.199
6646.362, 91.416, -172.186
6646.729, 91.416, -172.178
6647.095, 91.416, -172.176
6647.461, 91.415, -172.175
6647.827, 91.412, -172.168
6648.193, 91.409, -172.151
6648.560, 91.408, -172.124
6648.926, 91.408, -172.095
6649.292, 91.409, -172.073
6649.658, 91.411, -172.064
6650.024, 91.411, -172.066
6650.391, 91.410, -172.070
6650.757, 91.407, -172.067
6651.123, 91.404, -172.055
6651.489, 91.401, -172.037
6651.855, 91.400, -172.020
6652.222, 91.398, -172.006
6652.588, 91.396, -171.994
6652.954, 91.394, -171.979
6653.320, 91.392, -171.960
6653.687, 91.391, -171.939
6654.053, 91.391, -171.920
6654.419, 91.391, -171.907
6654.785, 91.391, -171.897
6655.151, 91.390, -171.889
6655.518, 91.390, -171.881
6655.884, 91.390, -171.875
6656.250, 91.390, -171.872
6656.616, 91.390, -171.873
6656.982, 91.388, -171.874
6657.349, 91.386, -171.871
6657.715, 91.383, -171.860
6658.081, 91.381, -171.843
6658.447, 91.379, -171.824
6658.813, 91.378, -171.805
6659.180, 91.377, -171.787
6659.546, 91.376, -171.769
6659.912, 91.376, -171.752
6660.278, 91.376, -171.740
6660.645, 91.376, -171.735
6661.011, 91.374, -171.733
6661.377, 91.371, -171.726
6661.743, 91.367, -171.707
6662.109, 91.364, -171.673
6662.476, 91.363, -171.635
6662.842, 91.365, -171.604
6663.208, 91.369, -171.592
6663.574, 91.371, -171.599
6663.940, 91.372, -171.614
6664.307, 91.370, -171.625
6664.673, 91.367, -171.625
6665.039, 91.364, -171.617
6665.405, 91.363, -171.607
6665.771, 91.362, -171.603
6666.138, 91.361, -171.601
6666.504, 91.358, -171.593
6666.870, 91.355, -171.574
6667.236, 91.354, -171.543
6667.603, 91.355, -171.511
6667.969, 91.357, -171.488
6668.335, 91.361, -171.479
6668.701, 91.362, -171.482
6669.067, 91.362, -171.487
6669.434, 91.361, -171.484
6669.800, 91.359, -171.472
6670.166, 91.358, -171.452
6670.532, 91.357, -171.432
6670.898, 91.358, -171.417
6671.265, 91.358, -171.407
6671.631, 91.357, -171.400
6671.997, 91.356, -171.392
6672.363, 91.354, -171.381
6672.729, 91.352, -171.366
6673.096, 91.351, -171.351
6673.462, 91.350, -171.338
6673.828, 91.348, -171.329
6674.194, 91.346, -171.323
6674.561, 91.343, -171.314
6674.927, 91.340, -171.297
6675.293, 91.337, -171.271
6675.659, 91.336, -171.240
6676.025, 91.338, -171.214
6676.392, 91.341, -171.204
6676.758, 91.343, -171.214
6677.124, 91.344, -171.237
6677.490, 91.341, -171.259
6677.856, 91.336, -171.268
6678.223, 91.332, -171.259
6678.589, 91.329, -171.239
6678.955, 91.327, -171.220
6679.321, 91.327, -171.207
6679.688, 91.326, -171.200
6680.054, 91.325, -171.191
6680.420, 91.323, -171.176
6680.786, 91.322, -171.156
6681.152, 91.323, -171.137
6681.519, 91.323, -171.124
6681.885, 91.323, -171.115
6682.251, 91.322, -171.103
6682.617, 91.321, -171.084
6682.983, 91.321, -171.062
6683.350, 91.323, -171.043
6683.716, 91.324, -171.036
6684.082, 91.325, -171.038
6684.448, 91.324, -171.041
6684.814, 91.321, -171.036
6685.181, 91.318, -171.021
6685.547, 91.317, -170.999
6685.913, 91.316, -170.980
6686.279, 91.316, -170.968
6686.646, 91.316, -170.961
6687.012, 91.314, -170.955
6687.378, 91.312, -170.943
6687.744, 91.311, -170.928
6688.110, 91.310, -170.913
6688.477, 91.310, -170.902
6688.843, 91.310, -170.898
6689.209, 91.309, -170.898
6689.575, 91.307, -170.898
6689.941, 91.305, -170.893
6690.308, 91.301, -170.881
6690.674, 91.299, -170.859
6691.040, 91.298, -170.831
