* Measurement data measured by REW V5.19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Dec 21, 2020 11:50:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FD5 (R) narrow; triple L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
97.412, 100.125, 174.969
97.778, 100.111, 174.834
98.145, 100.094, 174.723
98.511, 100.076, 174.654
98.877, 100.063, 174.617
99.243, 100.058, 174.580
99.609, 100.059, 174.509
99.976, 100.060, 174.388
100.342, 100.057, 174.232
100.708, 100.048, 174.071
101.074, 100.035, 173.930
101.440, 100.021, 173.813
101.807, 100.008, 173.711
102.173, 99.996, 173.609
102.539, 99.984, 173.506
102.905, 99.970, 173.411
103.271, 99.956, 173.334
103.638, 99.944, 173.273
104.004, 99.935, 173.215
104.370, 99.928, 173.146
104.736, 99.922, 173.060
105.103, 99.914, 172.962
105.469, 99.906, 172.860
105.835, 99.896, 172.756
106.201, 99.886, 172.647
106.567, 99.874, 172.535
106.934, 99.859, 172.429
107.300, 99.844, 172.342
107.666, 99.830, 172.279
108.032, 99.820, 172.227
108.398, 99.814, 172.164
108.765, 99.810, 172.072
109.131, 99.805, 171.950
109.497, 99.794, 171.821
109.863, 99.780, 171.711
110.229, 99.765, 171.634
110.596, 99.753, 171.583
110.962, 99.746, 171.537
111.328, 99.743, 171.476
111.694, 99.741, 171.387
112.061, 99.739, 171.273
112.427, 99.733, 171.145
112.793, 99.723, 171.016
113.159, 99.710, 170.899
113.525, 99.694, 170.803
113.892, 99.678, 170.734
114.258, 99.664, 170.690
114.624, 99.653, 170.661
114.990, 99.645, 170.635
115.356, 99.641, 170.595
115.723, 99.639, 170.534
116.089, 99.635, 170.449
116.455, 99.630, 170.348
116.821, 99.620, 170.241
117.188, 99.608, 170.142
117.554, 99.595, 170.056
117.920, 99.581, 169.982
118.286, 99.569, 169.911
118.652, 99.556, 169.839
119.019, 99.541, 169.768
119.385, 99.526, 169.711
119.751, 99.511, 169.677
120.117, 99.500, 169.660
120.483, 99.494, 169.635
120.850, 99.492, 169.575
121.216, 99.488, 169.471
121.582, 99.478, 169.344
121.948, 99.463, 169.234
122.314, 99.446, 169.166
122.681, 99.434, 169.128
123.047, 99.429, 169.077
123.413, 99.427, 168.975
123.779, 99.420, 168.821
124.146, 99.402, 168.659
124.512, 99.376, 168.547
124.878, 99.349, 168.517
125.244, 99.330, 168.548
125.610, 99.322, 168.581
125.977, 99.322, 168.571
126.343, 99.321, 168.511
126.709, 99.315, 168.432
127.075, 99.305, 168.373
127.441, 99.297, 168.340
127.808, 99.294, 168.308
128.174, 99.294, 168.241
128.540, 99.291, 168.130
128.906, 99.281, 168.002
129.272, 99.263, 167.899
129.639, 99.241, 167.849
130.005, 99.223, 167.849
130.371, 99.210, 167.869
130.737, 99.203, 167.880
131.104, 99.198, 167.870
131.470, 99.193, 167.842
131.836, 99.188, 167.802
132.202, 99.181, 167.752
132.568, 99.173, 167.693
132.935, 99.162, 167.634
133.301, 99.148, 167.592
133.667, 99.135, 167.578
134.033, 99.127, 167.584
134.399, 99.125, 167.579
134.766, 99.127, 167.529
135.132, 99.128, 167.423
135.498, 99.121, 167.281
135.864, 99.104, 167.147
136.230, 99.082, 167.059
136.597, 99.061, 167.025
136.963, 99.046, 167.025
137.329, 99.037, 167.021
137.695, 99.032, 166.989
138.062, 99.026, 166.928
138.428, 99.017, 166.857
138.794, 99.005, 166.797
139.160, 98.993, 166.758
139.526, 98.984, 166.731
139.893, 98.977, 166.698
140.259, 98.971, 166.650
140.625, 98.963, 166.590
140.991, 98.951, 166.534
141.357, 98.938, 166.502
141.724, 98.924, 166.501
142.090, 98.914, 166.524
142.456, 98.909, 166.554
142.822, 98.909, 166.568
143.188, 98.910, 166.556
143.555, 98.910, 166.516
143.921, 98.907, 166.456
144.287, 98.901, 166.387
144.653, 98.892, 166.320
145.020, 98.880, 166.262
145.386, 98.866, 166.219
145.752, 98.853, 166.192
146.118, 98.841, 166.175
146.484, 98.832, 166.156
146.851, 98.825, 166.123
147.217, 98.820, 166.064
147.583, 98.813, 165.975
147.949, 98.804, 165.862
148.315, 98.789, 165.736
148.682, 98.769, 165.615
149.048, 98.745, 165.520
149.414, 98.719, 165.465
149.780, 98.693, 165.456
150.146, 98.673, 165.485
150.513, 98.660, 165.535
150.879, 98.654, 165.583
151.245, 98.654, 165.616
151.611, 98.659, 165.624
151.978, 98.668, 165.601
152.344, 98.678, 165.533
152.710, 98.685, 165.412
153.076, 98.685, 165.250
153.442, 98.674, 165.083
153.809, 98.653, 164.963
154.175, 98.627, 164.926
154.541, 98.608, 164.963
154.907, 98.599, 165.022
155.273, 98.598, 165.042
155.640, 98.597, 165.000
156.006, 98.587, 164.929
156.372, 98.568, 164.894
156.738, 98.550, 164.931
157.104, 98.542, 165.015
157.471, 98.548, 165.069
157.837, 98.561, 165.024
158.203, 98.567, 164.870
158.569, 98.557, 164.672
158.936, 98.531, 164.519
159.302, 98.500, 164.468
159.668, 98.477, 164.500
160.034, 98.467, 164.544
160.400, 98.467, 164.531
160.767, 98.465, 164.446
161.133, 98.455, 164.328
161.499, 98.435, 164.241
161.865, 98.413, 164.220
162.231, 98.398, 164.253
162.598, 98.393, 164.293
162.964, 98.394, 164.293
163.330, 98.396, 164.239
163.696, 98.392, 164.152
164.062, 98.382, 164.068
164.429, 98.367, 164.015
164.795, 98.352, 163.997
165.161, 98.341, 163.999
165.527, 98.333, 163.999
165.894, 98.325, 163.987
166.260, 98.318, 163.965
166.626, 98.309, 163.940
166.992, 98.300, 163.919
167.358, 98.291, 163.899
167.725, 98.283, 163.872
168.091, 98.275, 163.835
168.457, 98.265, 163.790
168.823, 98.254, 163.746
169.189, 98.242, 163.712
169.556, 98.230, 163.688
169.922, 98.220, 163.665
170.288, 98.212, 163.638
170.654, 98.203, 163.605
171.021, 98.194, 163.572
171.387, 98.185, 163.546
171.753, 98.177, 163.527
172.119, 98.170, 163.510
172.485, 98.164, 163.488
172.852, 98.159, 163.459
173.218, 98.154, 163.428
173.584, 98.148, 163.396
173.950, 98.143, 163.362
174.316, 98.138, 163.320
174.683, 98.132, 163.267
175.049, 98.123, 163.210
175.415, 98.110, 163.164
175.781, 98.097, 163.143
176.147, 98.084, 163.148
176.514, 98.075, 163.166
176.880, 98.071, 163.176
177.246, 98.068, 163.159
177.612, 98.065, 163.114
177.979, 98.057, 163.051
178.345, 98.045, 162.991
178.711, 98.029, 162.951
179.077, 98.012, 162.942
179.443, 97.997, 162.960
179.810, 97.987, 162.991
180.176, 97.980, 163.018
180.542, 97.977, 163.025
180.908, 97.974, 163.007
181.274, 97.969, 162.969
181.641, 97.961, 162.927
182.007, 97.952, 162.892
182.373, 97.942, 162.869
182.739, 97.933, 162.853
183.105, 97.925, 162.834
183.472, 97.917, 162.808
183.838, 97.908, 162.780
184.204, 97.898, 162.758
184.570, 97.888, 162.747
184.937, 97.879, 162.746
185.303, 97.872, 162.746
185.669, 97.866, 162.739
186.035, 97.861, 162.725
186.401, 97.855, 162.709
186.768, 97.849, 162.694
187.134, 97.844, 162.677
187.500, 97.839, 162.654
187.866, 97.834, 162.621
188.232, 97.827, 162.580
188.599, 97.817, 162.541
188.965, 97.806, 162.512
189.331, 97.795, 162.495
189.697, 97.784, 162.485
190.063, 97.774, 162.475
190.430, 97.763, 162.466
190.796, 97.752, 162.463
191.162, 97.743, 162.470
191.528, 97.735, 162.479
191.895, 97.730, 162.476
192.261, 97.726, 162.451
192.627, 97.719, 162.403
192.993, 97.709, 162.349
193.359, 97.695, 162.310
193.726, 97.681, 162.301
194.092, 97.669, 162.316
194.458, 97.661, 162.339
194.824, 97.659, 162.349
195.190, 97.658, 162.335
195.557, 97.657, 162.293
195.923, 97.654, 162.233
196.289, 97.646, 162.167
196.655, 97.634, 162.115
197.021, 97.620, 162.095
197.388, 97.606, 162.118
197.754, 97.597, 162.178
198.120, 97.595, 162.247
198.486, 97.600, 162.292
198.853, 97.608, 162.288
199.219, 97.613, 162.235
199.585, 97.610, 162.157
199.951, 97.601, 162.088
200.317, 97.586, 162.049
200.684, 97.570, 162.047
201.050, 97.555, 162.072
201.416, 97.543, 162.115
201.782, 97.533, 162.168
202.148, 97.528, 162.224
202.515, 97.528, 162.266
202.881, 97.531, 162.269
203.247, 97.535, 162.216
203.613, 97.534, 162.108
203.979, 97.523, 161.978
204.346, 97.502, 161.873
204.712, 97.476, 161.830
205.078, 97.453, 161.854
205.444, 97.438, 161.915
205.811, 97.433, 161.967
206.177, 97.433, 161.975
206.543, 97.433, 161.939
206.909, 97.428, 161.884
207.275, 97.418, 161.844
207.642, 97.407, 161.838
208.008, 97.399, 161.859
208.374, 97.396, 161.886
208.740, 97.395, 161.900
209.106, 97.395, 161.897
209.473, 97.393, 161.887
209.839, 97.389, 161.882
210.205, 97.384, 161.890
210.571, 97.380, 161.910
210.938, 97.378, 161.930
211.304, 97.378, 161.939
211.670, 97.379, 161.923
212.036, 97.378, 161.872
212.402, 97.372, 161.787
212.769, 97.355, 161.691
213.135, 97.327, 161.630
213.501, 97.292, 161.657
213.867, 97.260, 161.800
214.233, 97.243, 162.029
214.600, 97.249, 162.262
214.966, 97.275, 162.399
215.332, 97.306, 162.381
215.698, 97.328, 162.224
216.064, 97.330, 162.005
216.431, 97.315, 161.817
216.797, 97.291, 161.717
217.163, 97.269, 161.706
217.529, 97.255, 161.740
217.896, 97.250, 161.771
218.262, 97.248, 161.774
218.628, 97.246, 161.754
218.994, 97.242, 161.728
219.360, 97.237, 161.709
219.727, 97.231, 161.698
220.093, 97.226, 161.688
220.459, 97.220, 161.677
220.825, 97.213, 161.666
221.191, 97.204, 161.661
221.558, 97.194, 161.665
221.924, 97.185, 161.679
222.290, 97.175, 161.703
222.656, 97.168, 161.729
223.022, 97.162, 161.747
223.389, 97.156, 161.746
223.755, 97.149, 161.725
224.121, 97.138, 161.697
224.487, 97.123, 161.683
224.854, 97.107, 161.699
225.220, 97.095, 161.743
225.586, 97.088, 161.791
225.952, 97.086, 161.816
226.318, 97.084, 161.806
226.685, 97.081, 161.772
227.051, 97.074, 161.737
227.417, 97.065, 161.716
227.783, 97.058, 161.709
228.149, 97.052, 161.705
228.516, 97.047, 161.698
228.882, 97.042, 161.690
229.248, 97.038, 161.686
229.614, 97.035, 161.682
229.980, 97.034, 161.662
230.347, 97.031, 161.616
230.713, 97.022, 161.559
231.079, 97.006, 161.527
231.445, 96.986, 161.555
231.812, 96.971, 161.645
232.178, 96.967, 161.756
232.544, 96.971, 161.834
232.910, 96.978, 161.846
233.276, 96.980, 161.806
233.643, 96.974, 161.759
234.009, 96.963, 161.740
234.375, 96.953, 161.751
234.741, 96.948, 161.760
235.107, 96.944, 161.741
235.474, 96.937, 161.694
235.840, 96.924, 161.651
236.206, 96.908, 161.643
236.572, 96.897, 161.669
236.938, 96.892, 161.694
237.305, 96.891, 161.679
237.671, 96.888, 161.615
238.037, 96.878, 161.536
238.403, 96.860, 161.492
238.770, 96.843, 161.511
239.136, 96.832, 161.578
239.502, 96.833, 161.644
239.868, 96.841, 161.663
240.234, 96.848, 161.621
240.601, 96.850, 161.541
240.967, 96.843, 161.465
241.333, 96.832, 161.425
241.699, 96.820, 161.433
242.065, 96.812, 161.475
242.432, 96.810, 161.528
242.798, 96.814, 161.562
243.164, 96.819, 161.558
243.530, 96.821, 161.513
243.896, 96.816, 161.445
244.263, 96.804, 161.390
244.629, 96.785, 161.378
244.995, 96.767, 161.421
245.361, 96.754, 161.498
245.728, 96.748, 161.571
246.094, 96.745, 161.610
246.460, 96.741, 161.611
246.826, 96.732, 161.599
247.192, 96.719, 161.604
247.559, 96.706, 161.639
247.925, 96.697, 161.692
248.291, 96.693, 161.736
248.657, 96.693, 161.751
249.023, 96.692, 161.733
249.390, 96.690, 161.693
249.756, 96.684, 161.645
250.122, 96.677, 161.596
250.488, 96.667, 161.550
250.854, 96.655, 161.513
251.221, 96.641, 161.499
251.587, 96.627, 161.519
251.953, 96.615, 161.575
252.319, 96.610, 161.651
252.686, 96.610, 161.719
253.052, 96.615, 161.755
253.418, 96.619, 161.753
253.784, 96.619, 161.729
254.150, 96.613, 161.710
254.517, 96.604, 161.718
254.883, 96.596, 161.754
255.249, 96.593, 161.799
255.615, 96.592, 161.823
255.981, 96.591, 161.811
256.348, 96.585, 161.773
256.714, 96.572, 161.744
257.080, 96.555, 161.755
257.446, 96.540, 161.814
257.812, 96.533, 161.894
258.179, 96.535, 161.947
258.545, 96.539, 161.941
258.911, 96.540, 161.877
259.277, 96.532, 161.795
259.644, 96.518, 161.742
260.010, 96.501, 161.741
260.376, 96.490, 161.782
260.742, 96.486, 161.828
